,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
510,Prelúdio,0.418,0.416,10,-8.113,1,0.0403,0.944,2.7e-05,0.273,0.179,138.783,audio_features,2uDnC0z7d1inMFx5E0XiPN,spotify:track:2uDnC0z7d1inMFx5E0XiPN,https://api.spotify.com/v1/tracks/2uDnC0z7d1inMFx5E0XiPN,https://api.spotify.com/v1/audio-analysis/2uDnC0z7d1inMFx5E0XiPN,72107,4
511,Catapult,0.483,0.937,9,-7.832,0,0.0759,0.000212,0.0,0.295,0.673,150.998,audio_features,5j2LDsUsxbCnZkhJwLkbKp,spotify:track:5j2LDsUsxbCnZkhJwLkbKp,https://api.spotify.com/v1/tracks/5j2LDsUsxbCnZkhJwLkbKp,https://api.spotify.com/v1/audio-analysis/5j2LDsUsxbCnZkhJwLkbKp,206944,4
512,Sense,0.534,0.602,5,-9.141,0,0.281,0.512,0.318,0.189,0.675,202.071,audio_features,2aWD82DivUOt9BpYLPL4U4,spotify:track:2aWD82DivUOt9BpYLPL4U4,https://api.spotify.com/v1/tracks/2aWD82DivUOt9BpYLPL4U4,https://api.spotify.com/v1/audio-analysis/2aWD82DivUOt9BpYLPL4U4,210653,4
513,"Fungus (feat. K. Solar, Scott Kelley & Steve Lacy)",0.866,0.803,8,-3.504,1,0.338,0.329,3.18e-05,0.0902,0.588,88.985,audio_features,38RCbHtuJ44NvBHQeV65qJ,spotify:track:38RCbHtuJ44NvBHQeV65qJ,https://api.spotify.com/v1/tracks/38RCbHtuJ44NvBHQeV65qJ,https://api.spotify.com/v1/audio-analysis/38RCbHtuJ44NvBHQeV65qJ,278040,4
514,Ligeiro,0.479,0.55,5,-10.153,1,0.0912,0.628,0.00208,0.235,0.341,160.474,audio_features,3GDHgdo1Ahn7fe5h2yh2aY,spotify:track:3GDHgdo1Ahn7fe5h2yh2aY,https://api.spotify.com/v1/tracks/3GDHgdo1Ahn7fe5h2yh2aY,https://api.spotify.com/v1/audio-analysis/3GDHgdo1Ahn7fe5h2yh2aY,211589,3
515,Hold Your Fire,0.614,0.567,3,-6.83,0,0.0286,0.000687,0.00249,0.0905,0.375,120.019,audio_features,5mq4PSuPoc4bRhctZBDsFV,spotify:track:5mq4PSuPoc4bRhctZBDsFV,https://api.spotify.com/v1/tracks/5mq4PSuPoc4bRhctZBDsFV,https://api.spotify.com/v1/audio-analysis/5mq4PSuPoc4bRhctZBDsFV,182333,4
516,Love Me Or Leave Me,0.572,0.398,0,-10.751,1,0.0376,0.841,4.59e-06,0.128,0.76,86.135,audio_features,2XzHou7MZzOBQBqjWw86Nt,spotify:track:2XzHou7MZzOBQBqjWw86Nt,https://api.spotify.com/v1/tracks/2XzHou7MZzOBQBqjWw86Nt,https://api.spotify.com/v1/audio-analysis/2XzHou7MZzOBQBqjWw86Nt,244867,4
517,ABALO EMOCIONAL - Ao Vivo,0.441,0.915,3,-4.096,0,0.112,0.306,0.0,0.252,0.726,185.936,audio_features,53RxHysDJ0cjugMcPymwja,spotify:track:53RxHysDJ0cjugMcPymwja,https://api.spotify.com/v1/tracks/53RxHysDJ0cjugMcPymwja,https://api.spotify.com/v1/audio-analysis/53RxHysDJ0cjugMcPymwja,153226,4
518,Se Eu Soubesse,0.572,0.535,6,-8.184,0,0.0281,0.0495,0.0551,0.162,0.675,126.994,audio_features,0T7iwFLmkeKuKvFdtUTKGe,spotify:track:0T7iwFLmkeKuKvFdtUTKGe,https://api.spotify.com/v1/tracks/0T7iwFLmkeKuKvFdtUTKGe,https://api.spotify.com/v1/audio-analysis/0T7iwFLmkeKuKvFdtUTKGe,217151,4
519,Aquela Força,0.606,0.789,1,-5.842,1,0.0309,0.0179,1.11e-05,0.198,0.658,119.978,audio_features,6trJaUvFBtjSsTJ7vERzY1,spotify:track:6trJaUvFBtjSsTJ7vERzY1,https://api.spotify.com/v1/tracks/6trJaUvFBtjSsTJ7vERzY1,https://api.spotify.com/v1/audio-analysis/6trJaUvFBtjSsTJ7vERzY1,264693,4
520,Mahi Mahi,0.702,0.49,8,-12.454,1,0.0271,0.0857,0.842,0.098,0.263,114.993,audio_features,2NUTRCnkJOycn9NR81MeZU,spotify:track:2NUTRCnkJOycn9NR81MeZU,https://api.spotify.com/v1/tracks/2NUTRCnkJOycn9NR81MeZU,https://api.spotify.com/v1/audio-analysis/2NUTRCnkJOycn9NR81MeZU,196356,4
521,Ultralight Beam,0.592,0.403,0,-8.768,0,0.414,0.62,0.0,0.54,0.391,105.169,audio_features,1eQBEelI2NCy7AUTerX0KS,spotify:track:1eQBEelI2NCy7AUTerX0KS,https://api.spotify.com/v1/tracks/1eQBEelI2NCy7AUTerX0KS,https://api.spotify.com/v1/audio-analysis/1eQBEelI2NCy7AUTerX0KS,320680,4
522,Why Are Sundays So Depressing,0.579,0.714,0,-4.455,1,0.0347,0.00258,0.0269,0.111,0.299,109.971,audio_features,1aOxOpH4AkGAd8OMrKjyNY,spotify:track:1aOxOpH4AkGAd8OMrKjyNY,https://api.spotify.com/v1/tracks/1aOxOpH4AkGAd8OMrKjyNY,https://api.spotify.com/v1/audio-analysis/1aOxOpH4AkGAd8OMrKjyNY,275667,4
523,Bam Bam (feat. Ed Sheeran),0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,audio_features,0QBzMgT7NIeoCYy3sJCof1,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071,4
524,Chances,0.561,0.569,6,-9.682,1,0.0289,0.365,0.611,0.109,0.53,103.705,audio_features,718purgMpFb2Axhuz0Hbq1,spotify:track:718purgMpFb2Axhuz0Hbq1,https://api.spotify.com/v1/tracks/718purgMpFb2Axhuz0Hbq1,https://api.spotify.com/v1/audio-analysis/718purgMpFb2Axhuz0Hbq1,216787,4
525,Phillip's Bicycle,0.619,0.278,0,-12.515,0,0.104,0.293,0.000579,0.0765,0.373,130.008,audio_features,2dhr80Z6BFPwHjWJJCrm6l,spotify:track:2dhr80Z6BFPwHjWJJCrm6l,https://api.spotify.com/v1/tracks/2dhr80Z6BFPwHjWJJCrm6l,https://api.spotify.com/v1/audio-analysis/2dhr80Z6BFPwHjWJJCrm6l,271385,4
526,Mandume,0.702,0.738,9,-7.695,1,0.386,0.322,0.0,0.666,0.665,145.064,audio_features,7JEFQNPdF5yUePOuTAG5fs,spotify:track:7JEFQNPdF5yUePOuTAG5fs,https://api.spotify.com/v1/tracks/7JEFQNPdF5yUePOuTAG5fs,https://api.spotify.com/v1/audio-analysis/7JEFQNPdF5yUePOuTAG5fs,495600,4
527,"New York, New York",0.312,0.497,2,-6.95,1,0.0309,0.587,0.0,0.246,0.546,94.311,audio_features,0K2WjMLZYr09LKwurGRYRE,spotify:track:0K2WjMLZYr09LKwurGRYRE,https://api.spotify.com/v1/tracks/0K2WjMLZYr09LKwurGRYRE,https://api.spotify.com/v1/audio-analysis/0K2WjMLZYr09LKwurGRYRE,204907,4
528,Tão Bem,0.581,0.658,0,-11.49,1,0.0391,0.63,0.0,0.246,0.746,87.157,audio_features,2Pdkupttp33m10ug37TDqt,spotify:track:2Pdkupttp33m10ug37TDqt,https://api.spotify.com/v1/tracks/2Pdkupttp33m10ug37TDqt,https://api.spotify.com/v1/audio-analysis/2Pdkupttp33m10ug37TDqt,244133,4
529,Crooked Eyes,0.57,0.475,7,-7.545,1,0.0392,0.896,0.0,0.303,0.622,121.817,audio_features,1C7GtTVx95iGKXkP26XHJK,spotify:track:1C7GtTVx95iGKXkP26XHJK,https://api.spotify.com/v1/tracks/1C7GtTVx95iGKXkP26XHJK,https://api.spotify.com/v1/audio-analysis/1C7GtTVx95iGKXkP26XHJK,255454,4
530,True Romance,0.408,0.314,0,-7.729,1,0.0323,0.48,1.27e-05,0.111,0.0833,105.096,audio_features,5cozKcTbz5DUdHHfgNdGOb,spotify:track:5cozKcTbz5DUdHHfgNdGOb,https://api.spotify.com/v1/tracks/5cozKcTbz5DUdHHfgNdGOb,https://api.spotify.com/v1/audio-analysis/5cozKcTbz5DUdHHfgNdGOb,245979,4
531,Dugout,0.31,0.537,9,-9.751,1,0.0368,0.016,0.112,0.0861,0.123,112.255,audio_features,2Wbssw1v5pKtnBaQ1doY1Z,spotify:track:2Wbssw1v5pKtnBaQ1doY1Z,https://api.spotify.com/v1/tracks/2Wbssw1v5pKtnBaQ1doY1Z,https://api.spotify.com/v1/audio-analysis/2Wbssw1v5pKtnBaQ1doY1Z,290588,4
532,Trainwreck 1979,0.552,0.909,8,-4.87,1,0.0502,5.79e-05,0.0315,0.204,0.232,135.041,audio_features,686Al5Fl1wzyp7vwAss0pW,spotify:track:686Al5Fl1wzyp7vwAss0pW,https://api.spotify.com/v1/tracks/686Al5Fl1wzyp7vwAss0pW,https://api.spotify.com/v1/audio-analysis/686Al5Fl1wzyp7vwAss0pW,226689,4
533,P.F.,0.787,0.095,6,-13.912,0,0.0753,0.99,0.00647,0.0999,0.199,100.729,audio_features,1JbKRg0gqcV328mN36zOhC,spotify:track:1JbKRg0gqcV328mN36zOhC,https://api.spotify.com/v1/tracks/1JbKRg0gqcV328mN36zOhC,https://api.spotify.com/v1/audio-analysis/1JbKRg0gqcV328mN36zOhC,227940,4
534,"If You Were There, Beware",0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4
535,me encontra lá :),0.447,0.851,7,-8.599,1,0.0484,0.00994,0.877,0.128,0.199,140.823,audio_features,5XuiOzDconwEtJcBUfNHXf,spotify:track:5XuiOzDconwEtJcBUfNHXf,https://api.spotify.com/v1/tracks/5XuiOzDconwEtJcBUfNHXf,https://api.spotify.com/v1/audio-analysis/5XuiOzDconwEtJcBUfNHXf,124000,4
536,Corre Corre - Ao Vivo,0.533,0.788,5,-9.431,0,0.0366,0.0121,0.21,0.785,0.742,131.947,audio_features,6I3FEdunYM9FM7j3D0u7j6,spotify:track:6I3FEdunYM9FM7j3D0u7j6,https://api.spotify.com/v1/tracks/6I3FEdunYM9FM7j3D0u7j6,https://api.spotify.com/v1/audio-analysis/6I3FEdunYM9FM7j3D0u7j6,196305,4
537,T3E9 — TODA Cagada,0.682,0.69,1,-7.976,1,0.195,0.244,0.291,0.151,0.509,127.951,audio_features,04QLK6amst2usZCMDgMlVp,spotify:track:04QLK6amst2usZCMDgMlVp,https://api.spotify.com/v1/tracks/04QLK6amst2usZCMDgMlVp,https://api.spotify.com/v1/audio-analysis/04QLK6amst2usZCMDgMlVp,172500,4
538,Em Algum Lugar,0.604,0.82,10,-4.927,0,0.0401,0.144,0.000133,0.109,0.427,105.019,audio_features,1UvWx2hgpxlF7HPbwLSmIY,spotify:track:1UvWx2hgpxlF7HPbwLSmIY,https://api.spotify.com/v1/tracks/1UvWx2hgpxlF7HPbwLSmIY,https://api.spotify.com/v1/audio-analysis/1UvWx2hgpxlF7HPbwLSmIY,419520,4
539,Fernweh (Shore),0.514,0.255,4,-19.921,0,0.042,0.934,0.95,0.0863,0.464,75.882,audio_features,3GO3YZmMy4wk54JisJx1fp,spotify:track:3GO3YZmMy4wk54JisJx1fp,https://api.spotify.com/v1/tracks/3GO3YZmMy4wk54JisJx1fp,https://api.spotify.com/v1/audio-analysis/3GO3YZmMy4wk54JisJx1fp,109972,4
540,III. Urn,0.59,0.446,0,-12.759,0,0.0731,0.621,0.00235,0.0731,0.399,140.081,audio_features,1wYIv0ySOwjMFWLOtrgtbo,spotify:track:1wYIv0ySOwjMFWLOtrgtbo,https://api.spotify.com/v1/tracks/1wYIv0ySOwjMFWLOtrgtbo,https://api.spotify.com/v1/audio-analysis/1wYIv0ySOwjMFWLOtrgtbo,73387,4
541,Lisboa,0.74,0.279,7,-12.434,0,0.0317,0.851,0.0,0.0984,0.409,104.946,audio_features,2o2xhyri4aJUtgMGkf5P0J,spotify:track:2o2xhyri4aJUtgMGkf5P0J,https://api.spotify.com/v1/tracks/2o2xhyri4aJUtgMGkf5P0J,https://api.spotify.com/v1/audio-analysis/2o2xhyri4aJUtgMGkf5P0J,219303,4
542,Cláudia,0.783,0.651,9,-6.757,0,0.0338,0.503,1.31e-05,0.121,0.643,101.015,audio_features,4UChhDCTtneR0QXN0btEmz,spotify:track:4UChhDCTtneR0QXN0btEmz,https://api.spotify.com/v1/tracks/4UChhDCTtneR0QXN0btEmz,https://api.spotify.com/v1/audio-analysis/4UChhDCTtneR0QXN0btEmz,332653,4
543,Red Canyon,0.699,0.345,9,-14.509,0,0.0391,0.927,0.949,0.101,0.207,87.994,audio_features,5VAwcc7rNth570gyaWJXJC,spotify:track:5VAwcc7rNth570gyaWJXJC,https://api.spotify.com/v1/tracks/5VAwcc7rNth570gyaWJXJC,https://api.spotify.com/v1/audio-analysis/5VAwcc7rNth570gyaWJXJC,144545,4
544,Mulheres De Atenas,0.598,0.326,2,-13.907,1,0.0391,0.722,2.46e-06,0.332,0.456,122.326,audio_features,6VIgGcxTOjPpvFUrFzM2TO,spotify:track:6VIgGcxTOjPpvFUrFzM2TO,https://api.spotify.com/v1/tracks/6VIgGcxTOjPpvFUrFzM2TO,https://api.spotify.com/v1/audio-analysis/6VIgGcxTOjPpvFUrFzM2TO,260600,4
545,A História do Anjo Sem Asas,0.497,0.472,7,-8.638,1,0.0522,0.756,0.0,0.111,0.812,117.952,audio_features,4QZ97x4lMT74X2LNxNapuE,spotify:track:4QZ97x4lMT74X2LNxNapuE,https://api.spotify.com/v1/tracks/4QZ97x4lMT74X2LNxNapuE,https://api.spotify.com/v1/audio-analysis/4QZ97x4lMT74X2LNxNapuE,292892,4
546,Just to Put Me Down,0.614,0.745,8,-7.35,0,0.0713,0.766,0.00165,0.219,0.558,79.953,audio_features,2DGPkG2lOUG950TNTZ5KyO,spotify:track:2DGPkG2lOUG950TNTZ5KyO,https://api.spotify.com/v1/tracks/2DGPkG2lOUG950TNTZ5KyO,https://api.spotify.com/v1/audio-analysis/2DGPkG2lOUG950TNTZ5KyO,198093,4
547,Safari Song,0.362,0.928,2,-4.015,1,0.0503,0.164,1.61e-05,0.315,0.678,175.868,audio_features,1BfR5GMOgW0peHkPxrwf11,spotify:track:1BfR5GMOgW0peHkPxrwf11,https://api.spotify.com/v1/tracks/1BfR5GMOgW0peHkPxrwf11,https://api.spotify.com/v1/audio-analysis/1BfR5GMOgW0peHkPxrwf11,234600,4
548,Automatic - Orion Sun Remix,0.647,0.459,6,-13.058,0,0.12,0.364,0.337,0.294,0.261,95.908,audio_features,3IQ6PPDCEJBRFiqUCWeyI0,spotify:track:3IQ6PPDCEJBRFiqUCWeyI0,https://api.spotify.com/v1/tracks/3IQ6PPDCEJBRFiqUCWeyI0,https://api.spotify.com/v1/audio-analysis/3IQ6PPDCEJBRFiqUCWeyI0,124736,4
549,All Along the Watchtower,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,audio_features,2aoo2jlRnM3A0NyLQqMN2f,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f,240800,4
550,Them There Eyes,0.57,0.308,8,-10.541,1,0.0823,0.759,0.0,0.166,0.808,130.909,audio_features,7tFXpD29uEFFs9hhTza7G2,spotify:track:7tFXpD29uEFFs9hhTza7G2,https://api.spotify.com/v1/tracks/7tFXpD29uEFFs9hhTza7G2,https://api.spotify.com/v1/audio-analysis/7tFXpD29uEFFs9hhTza7G2,171693,4
551,cubra-se,0.451,0.253,7,-13.726,0,0.0332,0.732,0.376,0.0942,0.175,124.909,audio_features,2VtNXgLwXdC3ptNXkfJFTN,spotify:track:2VtNXgLwXdC3ptNXkfJFTN,https://api.spotify.com/v1/tracks/2VtNXgLwXdC3ptNXkfJFTN,https://api.spotify.com/v1/audio-analysis/2VtNXgLwXdC3ptNXkfJFTN,161945,4
552,Invisível,0.631,0.533,9,-10.317,0,0.0297,0.481,0.731,0.0876,0.527,134.093,audio_features,34vr7f5YwdGkiw2Urxyrsc,spotify:track:34vr7f5YwdGkiw2Urxyrsc,https://api.spotify.com/v1/tracks/34vr7f5YwdGkiw2Urxyrsc,https://api.spotify.com/v1/audio-analysis/34vr7f5YwdGkiw2Urxyrsc,189941,4
